Title:,"Time Series, Area-Averaged of Sea Surface Temperature at 11 microns (Day) 8-daily 4 km [MODIS-Aqua ()"
User Start Date:,2002-07-04T00:00:00Z
User End Date:,2022-12-25T23:59:59Z
User Bounding Box:,"8.5241,76.9366,8.5241,76.9366"
Data Bounding Box:,"8.52084,76.9375,8.52084,76.9375"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-04T00:00:00Z&endtime=2022-12-25T23:59:59Z&bbox=8.5241,76.9366,8.5241,76.9366&data=MODISA_L3m_SST_8d_4km_R2019_0_sst&dataKeyword=sea%20surface%20temperature&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_SST_8d_4km_R2019_0_sst):, -32767

time, mean_MODISA_L3m_SST_8d_4km_R2019_0_sst
2004-06-01 00:10:00,4.01499987
2004-06-09 00:50:00,4.65499973
2004-06-17 00:10:01,5.11999989
2004-06-25 00:50:00,6.25
2004-07-03 00:10:01,6.10999966
2004-07-11 00:50:00,5.73499966
2004-07-19 00:10:01,6.44999981
2004-07-27 00:50:01,6.7249999
2004-08-04 00:10:01,6.81999969
2004-08-12 00:50:01,7.30999994
2004-08-20 00:10:01,6.00499964
2004-08-28 00:50:01,6.96999979
2004-09-05 00:10:00,6.19999981
2004-09-13 00:25:01,5.39499998
2004-09-21 00:10:00,6
2004-09-29 00:20:01,4.00999975
2004-10-07 00:10:00,5.23499966
2004-10-15 00:20:01,4.96999979
2004-10-23 00:10:00,-32767
2004-10-31 00:20:01,-32767
2004-11-08 00:10:00,-32767
2004-11-16 00:20:01,-32767
2004-11-24 00:10:00,-32767
2004-12-02 00:20:01,-32767
2004-12-10 00:10:00,-32767
2004-12-18 00:20:00,-32767
2004-12-26 00:10:00,-32767
2005-01-01 00:35:01,-32767
2005-01-09 00:20:00,-32767
2005-01-17 00:35:01,-32767
2005-01-25 00:20:00,-32767
2005-02-02 00:35:01,-32767
2005-02-10 00:20:00,-32767
2005-02-18 00:35:01,2.29499984
2005-02-26 00:20:00,-32767
2005-03-06 00:35:01,3.17999983
2005-03-14 00:20:00,3.1099999
2005-03-22 00:35:01,-32767
2005-03-30 00:20:01,1.92999995
2005-04-07 00:35:01,2.05500007
2005-04-15 00:20:01,3.16499996
2005-04-23 00:55:00,2.85500002
2005-05-01 00:20:01,-32767
2005-05-09 00:55:00,3.66999984
2005-05-17 00:20:01,3.32999992
2005-05-25 00:55:00,3.5999999
